,Manufacturer,Name,Headsize (sq_inch),Length (inn),Strung Weight (oz),Balance,Swingweight,Beamwidth,Power Level,Stiffness,Stringing Pattern,HL or HH,Points of Balance
93,Babolat,Babolat Aero Storm GT,98,27.0,11.4,3pts HL,334,21.5,0,67,16 Mains/20 Crosses,Head Light,3
94,Babolat,Babolat Aero Storm Tour GT,98,27.0,11.9,6pts HL,330,21.5,0,68,16 Mains/20 Crosses,Head Light,6
95,Babolat,Babolat AeroPro Team GT,100,27.0,10.6,0pts EB,315,26.5,1,69,16 Mains/19 Crosses,Head Heavy,0
96,Babolat,Babolat AeroPro Drive GT Plus,100,27.5,11.2,6pts HL,339,26.0,0,69,16 Mains/19 Crosses,Head Light,6
97,Babolat,Babolat XS 102,102,27.0,10.1,5pts HH,328,30.0,2,66,16 Mains/20 Crosses,Head Heavy,5
98,Babolat,Babolat XS 109,109,27.2,9.5,7pts HH,325,33.0,1,61,16 Mains/20 Crosses,Head Heavy,7
99,Babolat,Babolat Pure Drive Roddick Junior 26 (Even),100,26.0,9.4,2pts HH,271,26.0,1,66,16 Mains/19 Crosses,Head Heavy,2
100,Wilson,Wilson KFive 98,98,27.25,10.3,8pts HH,345,26.0,1,51,16 Mains/20 Crosses,Head Heavy,8
101,Wilson,Wilson KFive 108,108,27.25,10.3,9pts HH,346,26.0,2,50,16 Mains/20 Crosses,Head Heavy,9
102,Wilson,Wilson n5 Force Oversize,110,27.25,10.1,10pts HH,335,26.5,1,55,16 Mains/20 Crosses,Head Heavy,1
103,Wilson,Wilson nTour 105,105,27.25,10.5,2pts HH,344,24.0,1,65,16 Mains/20 Crosses,Head Heavy,2
104,Wilson,Wilson nTour 95,95,27.25,10.7,0pts EB,330,22.0,1,61,16 Mains/20 Crosses,Head Heavy,0
105,Wilson,Wilson nTour Two 105,105,27.25,10.4,3pts HH,339,24.0,1,65,16 Mains/20 Crosses,Head Heavy,3
106,Wilson,Wilson n5 Force Midplus,98,27.25,9.8,9pts HH,322,25.5,1,55,16 Mains/20 Crosses,Head Heavy,9
107,Wilson,Wilson nBlade Midplus,98,27.0,11.1,2pts HL,340,21.0,0,58,18 Mains/20 Crosses,Head Light,2
108,Wilson,Wilson KTour,95,27.25,10.6,1pts HH,331,22.0,0,64,16 Mains/20 Crosses,Head Heavy,1
109,Wilson,Wilson Hyper Hammer 6.2 Midplus,95,27.25,9.8,6pts HH,328,25.0,1,61,16 Mains/20 Crosses,Head Heavy,6
112,Wilson,Wilson nVision,103,27.25,9.8,4pts HH,324,25.0,1,62,16 Mains/20 Crosses,Head Heavy,4
113,Wilson,Wilson nTour Two nCode,95,27.25,10.6,1pts HL,320,22.0,0,62,16 Mains/20 Crosses,Head Light,1
114,Wilson,Wilson nBlade Oversize,106,27.3,11.1,4pts HL,335,22.0,0,60,18 Mains/19 Crosses,Head Light,4
115,Wilson,Wilson n4 Midplus,101,27.5,9.8,4pts HH,327,28.0,2,65,16 Mains/19 Crosses,Head Heavy,4
116,Wilson,Wilson KSix-One Team,95,27.0,10.9,0pts EB,325,21.0,1,59,18 Mains/20 Crosses,Head Heavy,0
117,Wilson,Wilson n3,113,27.5,9.7,7pts HH,328,30.0,2,47,16 Mains/19 Crosses,Head Heavy,7
118,Wilson,Wilson W3 Gypsy Rose,113,27.5,9.7,7pts HH,328,31.0,2,47,16 Mains/19 Crosses,Head Heavy,7
119,Wilson,Wilson KBlade Team,104,27.3,10.7,4pts HL,320,22.0,0,57,18 Mains/19 Crosses,Head Light,4
120,Wilson,Wilson nPro Open X,100,27.5,11.3,8pts HL,328,26.0,0,66,16 Mains/19 Crosses,Head Light,8
122,Wilson,Wilson KBlade 98,98,27.0,11.1,3pts HL,325,20.0,0,67,18 Mains/20 Crosses,Head Light,3
123,Wilson,Wilson KFour 112,112,27.5,9.9,8pts HH,345,28.0,2,73,16 Mains/20 Crosses,Head Heavy,8
124,Wilson,Wilson PS Blitz,100,27.0,9.9,2pts HH,307,26.0,0,57,16 Mains/19 Crosses,Head Heavy,2
126,Wilson,Wilson ProStaff Tour 95,95,27.0,11.5,7pts HL,325,20.0,0,62,18 Mains/20 Crosses,Head Light,7
128,Wilson,Wilson KFour 105,105,27.25,10.1,3pts HH,322,28.0,1,73,16 Mains/19 Crosses,Head Heavy,3
